timesteps,ep_len_mean
1.638400000000000000e+04,1.040500030517578125e+02
3.276800000000000000e+04,9.508000183105468750e+01
4.915200000000000000e+04,1.037900009155273438e+02
6.553600000000000000e+04,1.109499969482421875e+02
8.192000000000000000e+04,1.020800018310546875e+02
9.830400000000000000e+04,1.003099975585937500e+02
1.146880000000000000e+05,9.929000091552734375e+01
1.310720000000000000e+05,1.022900009155273438e+02
1.474560000000000000e+05,1.056600036621093750e+02
1.638400000000000000e+05,1.040299987792968750e+02
1.802240000000000000e+05,9.748999786376953125e+01
1.966080000000000000e+05,1.071699981689453125e+02
2.129920000000000000e+05,9.965000152587890625e+01
2.293760000000000000e+05,9.723999786376953125e+01
2.457600000000000000e+05,1.016500015258789062e+02
2.621440000000000000e+05,1.047600021362304688e+02
2.785280000000000000e+05,1.020199966430664062e+02
2.949120000000000000e+05,9.577999877929687500e+01
3.112960000000000000e+05,9.876000213623046875e+01
3.276800000000000000e+05,9.655999755859375000e+01
3.440640000000000000e+05,1.002600021362304688e+02
3.604480000000000000e+05,1.019700012207031250e+02
3.768320000000000000e+05,9.954000091552734375e+01
3.932160000000000000e+05,9.579000091552734375e+01
4.096000000000000000e+05,9.912000274658203125e+01
4.259840000000000000e+05,9.723000335693359375e+01
4.423680000000000000e+05,9.950000000000000000e+01
4.587520000000000000e+05,1.008499984741210938e+02
4.751360000000000000e+05,9.797000122070312500e+01
4.915200000000000000e+05,9.469999694824218750e+01
5.079040000000000000e+05,9.900000000000000000e+01
5.242880000000000000e+05,9.841000366210937500e+01
5.406720000000000000e+05,9.740000152587890625e+01
5.570560000000000000e+05,9.373000335693359375e+01
5.734400000000000000e+05,1.018300018310546875e+02
5.898240000000000000e+05,9.473000335693359375e+01
6.062080000000000000e+05,9.948000335693359375e+01
6.225920000000000000e+05,8.709999847412109375e+01
6.389760000000000000e+05,9.715000152587890625e+01
6.553600000000000000e+05,9.694000244140625000e+01
6.717440000000000000e+05,9.498999786376953125e+01
6.881280000000000000e+05,9.916999816894531250e+01
7.045120000000000000e+05,9.880000305175781250e+01
7.208960000000000000e+05,9.418000030517578125e+01
7.372800000000000000e+05,9.190000152587890625e+01
7.536640000000000000e+05,1.000299987792968750e+02
7.700480000000000000e+05,9.341000366210937500e+01
7.864320000000000000e+05,9.626000213623046875e+01
8.028160000000000000e+05,9.150000000000000000e+01
8.192000000000000000e+05,9.711000061035156250e+01
8.355840000000000000e+05,9.893000030517578125e+01
8.519680000000000000e+05,9.251000213623046875e+01
8.683520000000000000e+05,9.484999847412109375e+01
8.847360000000000000e+05,1.006399993896484375e+02
9.011200000000000000e+05,9.595999908447265625e+01
9.175040000000000000e+05,9.727999877929687500e+01
9.338880000000000000e+05,1.004800033569335938e+02
9.502720000000000000e+05,9.562999725341796875e+01
9.666560000000000000e+05,9.680999755859375000e+01
9.830400000000000000e+05,9.529000091552734375e+01
9.994240000000000000e+05,9.823999786376953125e+01
1.015808000000000000e+06,9.254000091552734375e+01
1.032192000000000000e+06,9.400000000000000000e+01
1.048576000000000000e+06,9.162000274658203125e+01
1.064960000000000000e+06,9.912000274658203125e+01
1.081344000000000000e+06,9.987000274658203125e+01
1.097728000000000000e+06,9.386000061035156250e+01
1.114112000000000000e+06,9.266999816894531250e+01
1.130496000000000000e+06,9.212000274658203125e+01
1.146880000000000000e+06,9.166999816894531250e+01
1.163264000000000000e+06,9.641000366210937500e+01
1.179648000000000000e+06,9.544999694824218750e+01
1.196032000000000000e+06,9.358000183105468750e+01
1.212416000000000000e+06,9.219000244140625000e+01
