timesteps,ep_rew_mean
1.638400000000000000e+04,-1.940661430358886719e+01
3.276800000000000000e+04,-1.071118259429931641e+01
4.915200000000000000e+04,-1.796121788024902344e+01
6.553600000000000000e+04,2.910358905792236328e-01
8.192000000000000000e+04,-1.114948844909667969e+01
9.830400000000000000e+04,-1.836191368103027344e+01
1.146880000000000000e+05,-1.369637489318847656e+01
1.310720000000000000e+05,-5.415437221527099609e+00
1.474560000000000000e+05,-1.187670135498046875e+01
1.638400000000000000e+05,-7.889443874359130859e+00
1.802240000000000000e+05,-1.175754261016845703e+01
1.966080000000000000e+05,-3.248498439788818359e+00
2.129920000000000000e+05,-1.270947360992431641e+01
2.293760000000000000e+05,-5.125806808471679688e+00
2.457600000000000000e+05,-9.494202613830566406e+00
2.621440000000000000e+05,-7.798359870910644531e+00
2.785280000000000000e+05,-1.004132652282714844e+01
2.949120000000000000e+05,-1.114507293701171875e+01
3.112960000000000000e+05,-2.822633028030395508e+00
3.276800000000000000e+05,-1.225393199920654297e+01
3.440640000000000000e+05,-1.750416183471679688e+01
3.604480000000000000e+05,-6.589898109436035156e+00
3.768320000000000000e+05,-2.640684843063354492e+00
3.932160000000000000e+05,-5.855224132537841797e+00
4.096000000000000000e+05,-1.586159896850585938e+01
4.259840000000000000e+05,-5.357051849365234375e+00
4.423680000000000000e+05,-1.622815704345703125e+01
4.587520000000000000e+05,-7.793689727783203125e+00
4.751360000000000000e+05,-1.174917221069335938e+01
4.915200000000000000e+05,-1.217476081848144531e+01
5.079040000000000000e+05,-9.555154800415039062e+00
5.242880000000000000e+05,-1.823995208740234375e+01
5.406720000000000000e+05,-9.592498838901519775e-02
5.570560000000000000e+05,-2.143764114379882812e+01
5.734400000000000000e+05,-5.161103606224060059e-01
5.898240000000000000e+05,-1.478708457946777344e+01
6.062080000000000000e+05,-2.402156257629394531e+01
6.225920000000000000e+05,-1.191421604156494141e+01
6.389760000000000000e+05,-9.517270922660827637e-01
6.553600000000000000e+05,-1.027676296234130859e+01
6.717440000000000000e+05,-1.507104969024658203e+01
6.881280000000000000e+05,-1.401751708984375000e+01
7.045120000000000000e+05,-8.680837631225585938e+00
7.208960000000000000e+05,-4.551248550415039062e+00
7.372800000000000000e+05,-1.883202171325683594e+01
7.536640000000000000e+05,-3.969422817230224609e+00
7.700480000000000000e+05,-1.546713352203369141e+01
7.864320000000000000e+05,-1.586937332153320312e+01
8.028160000000000000e+05,-1.069441127777099609e+01
8.192000000000000000e+05,-1.128186798095703125e+01
8.355840000000000000e+05,-1.290197467803955078e+01
8.519680000000000000e+05,-2.255525207519531250e+01
8.683520000000000000e+05,-1.931061553955078125e+01
8.847360000000000000e+05,-1.327147102355957031e+01
9.011200000000000000e+05,1.461863875389099121e+00
9.175040000000000000e+05,-9.994864463806152344e+00
9.338880000000000000e+05,-1.542538046836853027e+00
9.502720000000000000e+05,2.416329532861709595e-01
9.666560000000000000e+05,-1.651260948181152344e+01
9.830400000000000000e+05,-1.230979728698730469e+01
9.994240000000000000e+05,2.922974348068237305e+00
1.015808000000000000e+06,-4.731713294982910156e+00
1.032192000000000000e+06,-6.147199630737304688e+00
1.048576000000000000e+06,-4.648176670074462891e+00
1.064960000000000000e+06,1.226286888122558594e+00
1.081344000000000000e+06,-5.712963342666625977e-01
1.097728000000000000e+06,-1.492393016815185547e+00
1.114112000000000000e+06,-1.711009597778320312e+01
1.130496000000000000e+06,-1.563371944427490234e+01
1.146880000000000000e+06,-1.519809722900390625e+01
1.163264000000000000e+06,3.887639760971069336e+00
1.179648000000000000e+06,-6.993452548980712891e+00
1.196032000000000000e+06,-6.957886219024658203e+00
1.212416000000000000e+06,-9.588369369506835938e+00
